PRT,2011,4552
PRT,2012,4702
PRT,2013,4876
PRT,2014,4440
PRT,2015,3986
PRT,2016,4004
PRT,2017,4048
SVK,1998,240
SVK,1999,284
SVK,2000,336
SVK,2001,372
SVK,2002,402
SVK,2003,524
SVK,2004,468
SVK,2005,462
SVK,2006,566
SVK,2007,594
SVK,2008,628
SVK,2009,712
SVK,2010,746
SVK,2012,372
SVK,2013,666
SVK,2014,736
SVN,1998,246
SVN,1999,190
SVN,2000,202
SVN,2001,248
SVN,2002,212
SVN,2003,212
SVN,2004,196
SVN,2005,404
SVN,2006,302
SVN,2007,330
SVN,2008,284
SVN,2009,186
SVN,2010,168
SVN,2011,148
SVN,2012,212
SVN,2013,216
SVN,2014,292
SVN,2015,304
SVN,2016,260
SVN,2017,226
SWE,1998,1882
SWE,1999,2164
SWE,2000,2014
SWE,2001,2212
SWE,2002,2520
SWE,2003,2500
SWE,2004,2310
SWE,2005,2770
SWE,2006,2770
SWE,2007,3246
SWE,2008,3392
SWE,2009,3848
SWE,2010,3928
SWE,2011,4096
SWE,2012,4420
SWE,2013,4560
SWE,2014,4228
SWE,2015,4610
SWE,2016,4050
SWE,2017,4224
UKR,1998,19342
UKR,1999,23402
UKR,2000,25450
UKR,2001,25636
UKR,2002,23490
UKR,2003,24476
UKR,2004,25062
UKR,2005,34490
UKR,2006,32566
UKR,2007,33604
UKR,2008,34512
UKR,2009,30274
UKR,2010,29284
UKR,2011,28100
UKR,2012,27844
UKR,2014,21948
UKR,2015,19800
UKR,2017,17428
