AUT,2017,37782.5
AUT,2016,42952
AUT,2015,37792.6666666667
AUT,2014,35660.6666666667
AUT,2013,36047.3333333333
AUT,2012,34541.3333333333
AUT,2011,34131.3333333333
AUT,2010,34434
AUT,2009,35496
AUT,2008,34375.3333333333
AUT,2007,33265.3333333333
AUT,2006,49621.3333333333
AUT,2005,46755.3333333333
AUT,2004,47814
AUT,2003,47997.3333333333
AUT,2002,49887.3333333333
AUT,2001,48436
AUT,2000,42981.3333333333
AUT,1999,44615.3333333333
AUT,1998,0
CHE,2017,12671.0886075949
CHE,2016,12229.2151898734
CHE,2015,11821.7215189873
CHE,2014,11259.5189873418
CHE,2013,10763.1139240506
CHE,2012,10529.0379746835
CHE,2011,9779.67088607595
CHE,2010,9817.3164556962
CHE,2009,8723.26582278481
CHE,2008,8732.05063291139
CHE,2007,9140.93670886076
CHE,2006,8942.6835443038
CHE,2005,8321.54430379747
CHE,2004,8082.12658227848
CHE,2003,7781.16455696203
CHE,2002,7949.3417721519
CHE,2001,8335.56962025317
CHE,2000,9129.82278481013
CHE,1999,9304.6582278481
CHE,1998,0
DEU,2017,61548.6111111111
DEU,2016,58669.4444444445
DEU,2015,37122.8611111111
DEU,2014,35502.1666666667
DEU,2013,28392.8888888889
DEU,2012,26257.75
DEU,2011,27266.8055555556
DEU,2010,27591.25
DEU,2009,31285.4166666667
DEU,2008,81119.9166666667
DEU,2007,70080.0277777778
DEU,2006,70319.25
DEU,2005,69172.5277777778
DEU,2004,76783.1388888889
DEU,2003,69007.3888888889
DEU,2002,68679.8333333333
DEU,2001,66835
DEU,2000,74340.8611111111
DEU,1999,74093.1388888889
DEU,1998,0
DNK,2017,411.346376811594
DNK,2016,384.655652173913
DNK,2015,326.711304347826
DNK,2014,325.981449275362
DNK,2013,317.898550724638
DNK,2012,320.508695652174
DNK,2011,305.828985507246
DNK,2010,304.771304347826
DNK,2009,294.103768115942
DNK,2008,283.098550724638
DNK,2007,309.005217391304
DNK,2006,346.14231884058
DNK,2005,339.422608695652
DNK,2004,333.648695652174
DNK,2003,322.172173913043
DNK,2002,323.055652173913
DNK,2001,327.015942028986
DNK,2000,323.065217391304
DNK,1999,307.471884057971
DNK,1998,0
EST,2017,1432.8115942029
EST,2016,1599.07246376812
EST,2015,1507.59420289855
EST,2014,537.623188405797
EST,2013,781.449275362319
EST,2012,732.869565217391
EST,2011,720.463768115942
EST,2010,613.797101449275
EST,2009,540.057971014493
EST,2008,510.840579710145
EST,2007,508.289855072464
EST,2006,640.811594202899
EST,2005,534.492753623188
EST,2004,339.36231884058
EST,2003,356.289855072464
EST,2002,236.289855072464
EST,2001,252.173913043478
EST,2000,206.840579710145
EST,1999,218.202898550725
EST,1998,0
FIN,2017,262.760784313725
FIN,2016,274.779607843137
FIN,2015,246.061176470588
FIN,2014,241.970196078431
FIN,2013,217.007058823529
FIN,2012,216.194509803922
FIN,2011,198.010980392157
FIN,2010,186.061176470588
FIN,2009,189.841568627451
FIN,2008,213.141960784314
FIN,2007,194.817254901961
FIN,2006,189.490196078431
FIN,2005,193.549803921569
FIN,2004,213.637647058824
FIN,2003,189.352156862745
FIN,2002,201.731764705882
FIN,2001,206.004705882353
FIN,2000,223.466666666667
FIN,1999,187.356862745098
FIN,1998,0
HUN,2017,159.732058359621
HUN,2016,163.192231861199
HUN,2015,177.771490536278
HUN,2014,173.195780757098
HUN,2013,138.452484227129
HUN,2012,89.8333990536278
HUN,2011,62.0946372239748
HUN,2010,51.8667192429022
HUN,2009,40.1372239747634
HUN,2008,37.6317034700315
HUN,2007,15.88761829653
HUN,2006,15.0067034700315
HUN,2005,12.7429022082019
HUN,2004,13.427641955836
HUN,2003,11.1932176656151
HUN,2002,11.2878548895899
HUN,2001,9.40260252365931
HUN,2000,8.75118296529968
HUN,1999,9.69755520504732
HUN,1998,0
IRL,2017,42712
IRL,2016,41370.6666666667
IRL,2015,44773.3333333333
IRL,2014,47404.6666666667
IRL,2013,51040
IRL,2012,54531.3333333333
IRL,2011,55366
IRL,2010,52066
IRL,2009,46448
IRL,2008,43956
IRL,2007,32026.6666666667
IRL,2006,29606
IRL,2005,22900
IRL,2004,19116.6666666667
IRL,2003,18133.3333333333
IRL,2002,18916.6666666667
IRL,2001,17166.6666666667
IRL,2000,17533.3333333333
IRL,1999,18550
IRL,1998,0
ISR,2017,2427.33333333333
ISR,2016,2772.66666666667
ISR,2015,2697.33333333333
ISR,2014,2701.33333333333
ISR,2013,2914.66666666667
ISR,2012,3172
ISR,2011,3208
ISR,2010,3639.33333333333
ISR,2009,4582.66666666667
ISR,2008,6096
ISR,2007,4942.66666666667
ISR,2006,3051.33333333333
ISR,2005,2608.66666666667
ISR,2004,3213.33333333333
ISR,2003,2558
ISR,2002,2993.33333333333
ISR,2001,2689.33333333333
ISR,2000,2326
ISR,1999,2442
ISR,1998,0
ITA,2017,14787.619047619
ITA,2016,14972.3095238095
ITA,2015,14013.7857142857
ITA,2014,12996.2619047619
ITA,2013,11988.380952381
ITA,2012,10131.3571428571
ITA,2011,7863.85714285714
ITA,2010,7509.11904761905
ITA,2009,7683.38095238095
ITA,2008,7717.14285714286
ITA,2007,4874.2380952381
ITA,2006,5571.95238095238
ITA,2005,5144.95238095238
ITA,2004,4760.7380952381
ITA,2003,4646.19047619048
ITA,2002,3982.61904761905
ITA,2001,5349.19047619048
ITA,2000,5399.59523809524
ITA,1999,6185.57142857143
ITA,1998,0
LUX,2017,9220.66666666667
LUX,2016,8961.33333333333
LUX,2015,8429.33333333333
LUX,2014,7522
